Title,Company,Address,Time,Requirements
Graphic Designer,Confidential ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · graphics · Adobe illustrator · Adobe Photoshop · Design · Graphic · Graphic Design · illustrator · Social Media · media
Cashier,Mahmoud Electric ,"Downtown, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Cashier · Accounting
Sales Manager,Libano ,"Cairo, Egypt ",Full Time,Full TimeManager · 3+ Yrs of Exp · Sales/Retail · Insurance · Sales · Sales Target · Skills · Communication · Communication skills · sales skills
Operation Coordinator (Real Estate field ),Upwyde ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · females_only · Administration · Logistics/Supply Chain · Operations/Management · Communication · Administration · word · Operations · Microsoft Office · excel · Logistics
Junior Architecture,Confidential ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Architecture · Design · Engineering · Revit · Communication skills · AutoCAD
Public Relations Specialist,Blue Nile ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Public Relations (PR) · Communication · Public Relations · Marketing · Social Media
Area Sales Manager - Upper Egypt,dkt Egypt ,"Assuit, Assiut, Egypt ",Full Time,Full TimeManager · 7 - 10 Yrs of Exp · Operations/Management · Sales/Retail · Sales Management · People Management · Sales · Leadership · Coaching · Business Planning · Area Sales Management · Sales Target
Women Empowerment Section Head,The community Egypt (TC Egypt ) ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeManager · 3+ Yrs of Exp · Operations/Management · Other · Project/Program Management · program management · women empowerment · Team management · English · Operations
KEY ACCOUNT B2B TRAVEL,WEJHTY COMPANY ,"6th of October, Giza, Egypt ",Full Time,Full TimeWork From HomeEntry Level · 1 - 2 Yrs of Exp · Business Development · Tourism/Travel · B2B · SALES · TRAVEL · Tourism · Travel Agencies · Sales Target · English · sales skills
Bilingual (Spanish & English) Associate,BPOHIVE ,"Cairo, Egypt ",Internship,InternshipEntry Level · Customer Service/Support · Sales/Retail · Tourism/Travel · English · Customer Service · Customer Care · Customer Support · Telemarketing · Spanish
Chief Accountant - (Construction - Contracting),Jadara ,"Obour City, Cairo, Egypt ",Full Time,Full TimeManager · 7 - 15 Yrs of Exp · Accounting/Finance · Financial · Retail · Accounting · Finance · Financial Analysis · Financial Management · Commerce · Business Administration
Retail Branch Manager,Jadara ,"Obour City, Cairo, Egypt ",Full Time,Full TimeManager · 10 - 15 Yrs of Exp · Operations/Management · Sales/Retail · Retail · Branch Management · Sales Skills · Sales · Branch Manager · Sales Target
High School Operations Manager (New Cairo),Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeManager · 7+ Yrs of Exp · Operations/Management · Education/Teaching · Operations · Management · Planning · Bugdeting · ATS · Education · Communication Skills
PHP Laravel - Full Stack Developer,Namaa IT ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Laravel · MySQL · Full Stack · Database Schemas · GraphQL API · RESTful APIs · Full Stack Development
High School Operations Manager (Matruh),Confidential ,"Matruh, Egypt ",Full Time,Full TimeManager · 7+ Yrs of Exp · Operations/Management · Education/Teaching · Operations · Management · Planning · Bugdeting · ATS · Education · Communication Skills
Customer Service Representative,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Real Estate · English · Customer · Microsoft · Microsoft Office
Sales Administrator,Gulf Data International  ,"Downtown, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · Administration · Medical/Healthcare · Sales/Retail · Business Administration · Sales · Medical Sales · Sales Field · Sales Target · Sales Skills
IT Technical Support Specialist,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Computer Science · computer · Information Technology (IT) · Technical Support · Windows · MS · Customer Support · English
High School Operations Manager (New Valley),Confidential ,"Kharga, New Valley, Egypt ",Full Time,Full TimeManager · 7+ Yrs of Exp · Operations/Management · Education/Teaching · Operations · Management · Planning · Bugdeting · ATS · Education · Communication Skills
Flutter Mobile Developer,Namaa IT ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Development · Software · Software Development · Flutter · Applications · App Store
Android Developer,Softex ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Android · flutter · Kotlin · Mobile Development · Mobile · Software Development
Financial & Operational Manager,Confidential ,"Smouha, Alexandria, Egypt ",Full Time,Full TimeManager · 12 - 15 Yrs of Exp · males_only · Accounting/Finance · Administration · Operations/Management · Administration · Financial Accounting · Account Management
Sales Engineer,Farida group for fire fighting and fire alarm ,"Sheraton, Cairo, Egypt ",Full Time,"Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical · Engineering · Contracting · Fire Protection · sales skills · Firefighting System · Sales Engineering · Mechanical, Electrical, and Plumbing (MEP)"
Customer Service Agent Vodafone UK - Work From Home - GRADS ONLY(Cairo Only),Majorel Egypt ,"6th of October, Giza, Egypt ",Full Time,Full TimeWork From HomeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Customer Service · Customer Support · English · Customer Care · Communication · MS Office · Call Center
Business Development Specialist,Edge Pro for Information Systems ,"Katameya, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 4 Yrs of Exp · Business Development · Sales/Retail · Lead Generation · Sales · sales skills · Sales Target · Engineering · Business Administration · MS Office · English
Accounting Manager,Optimarc pharma ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeManager · 7 - 15 Yrs of Exp · Accounting/Finance · account manager · Manager · Accounting · English · Finance · Financial Management · Financial Analysis
Presales Engineer - Cloud & Hosting,Link Datacenter ,"Giza, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Cloud · Computer Engineering · Computer Science · Hosting · Information Technology (IT) · Presales · Azure
